entry_date,expiry_date,etf_entry,iv,ivr,rsi,bbu,filter_passed,filter_would_pass,call_offsets,put_offsets,num_contracts,total_premium,total_net_rmb,Call_Leg_A_(OTM2)_contract,Call_Leg_A_(OTM2)_K,Call_Leg_A_(OTM2)_side,Call_Leg_A_(OTM2)_exec_px,Call_Leg_A_(OTM2)_premium,Call_Leg_A_(OTM2)_exercise,Call_Leg_A_(OTM2)_net,Call_Leg_A_(OTM2)_note,Call_Leg_B_(OTM3)_contract,Call_Leg_B_(OTM3)_K,Call_Leg_B_(OTM3)_side,Call_Leg_B_(OTM3)_exec_px,Call_Leg_B_(OTM3)_premium,Call_Leg_B_(OTM3)_exercise,Call_Leg_B_(OTM3)_net,Call_Leg_B_(OTM3)_note
2015-02-09,2015-03-25,2.331,0.3112,1.0,33.96,2.6221,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-03-26,2015-04-22,2.643,0.2664,0.5969,63.49,2.7254,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-04-23,2015-05-27,3.212,0.4737,0.9421,75.47,3.3208,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-05-28,2015-06-24,3.079,0.4454,0.8234,48.55,3.3217,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-06-25,2015-07-22,2.919,0.5543,0.807,38.91,3.4679,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-07-23,2015-08-26,2.794,0.239,0.0704,47.35,2.9122,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-08-27,2015-09-23,2.11,0.4509,0.453,35.35,2.8394,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-09-24,2015-10-28,2.187,0.3043,0.2147,43.93,2.3131,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-10-29,2015-11-25,2.311,0.2418,0.1055,53.5,2.4204,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-11-26,2015-12-23,2.447,0.2195,0.0667,56.73,2.5799,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2015-12-24,2016-01-27,2.478,0.231,0.0867,58.23,2.5219,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-01-28,2016-02-24,1.915,0.3321,0.2633,25.39,2.3807,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-02-25,2016-03-23,1.936,0.2684,0.152,37.24,2.0791,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-03-24,2016-04-27,2.14,0.2843,0.1798,56.31,2.2312,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-04-28,2016-05-25,2.142,0.1855,0.0073,49.99,2.1818,True,True,2+3,,1,426.25,422.25,10000604,2.2,sell,0.0282,281.65,0.0,279.65,expires_worthless,10000605,2.25,sell,0.0145,144.6,0.0,142.6,expires_worthless
2016-05-26,2016-06-22,2.074,0.1112,0.0,39.45,2.1599,True,True,2+3,,1,129.7,125.7,10000459,2.15,sell,0.0086,86.05,0.0,84.05,expires_worthless,10000449,2.2,sell,0.0044,43.65,0.0,41.65,expires_worthless
2016-06-23,2016-07-27,2.116,0.1475,0.0565,50.9,2.169,True,True,2+3,,1,218.17,64.17,10000641,2.2,sell,0.0145,144.54,-150.0,-7.46,assigned  ETF=2.2150 K=2.2000,10000643,2.25,sell,0.0074,73.62,0.0,71.62,expires_worthless
2016-07-28,2016-08-24,2.211,0.1343,0.0407,57.43,2.2555,True,True,2+3,,1,149.97,145.97,10000659,2.3,sell,0.0099,99.04,0.0,97.04,expires_worthless,10000665,2.35,sell,0.0051,50.93,0.0,48.93,expires_worthless
2016-08-25,2016-09-28,2.269,0.155,0.0972,56.39,2.3469,True,True,2+3,,1,329.18,325.18,10000667,2.35,sell,0.0208,207.68,0.0,205.68,expires_worthless,10000687,2.4,sell,0.0121,121.5,0.0,119.5,expires_worthless
2016-09-29,2016-10-26,2.23,0.1161,0.0655,43.67,2.3043,True,True,2+3,,1,134.92,20.92,10000701,2.3,sell,0.0088,87.97,-110.0,-24.03,assigned  ETF=2.3110 K=2.3000,10000702,2.35,sell,0.0047,46.94,0.0,44.94,expires_worthless
2016-10-27,2016-11-23,2.305,0.1137,0.0772,60.93,2.3311,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-11-24,2016-12-28,2.425,0.0888,0.0,75.63,2.4271,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2016-12-29,2017-01-25,2.278,0.1711,0.3002,36.11,2.4303,True,True,2+3,,1,513.38,-152.6,10000777,2.3,sell,0.0317,316.97,-570.0,-255.03,assigned  ETF=2.3570 K=2.3000,10000751,2.348,sell,0.0192,196.42,-91.98,102.44,assigned  ETF=2.3570 K=2.3480
2017-01-26,2017-02-22,2.366,0.1077,0.0755,61.66,2.3731,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2017-02-23,2017-03-22,2.387,0.1014,0.0505,60.51,2.401,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2017-03-23,2017-04-26,2.344,0.0746,0.0,46.52,2.3786,True,True,2+3,,1,110.12,106.12,10000859,2.4,sell,0.0081,80.73,0.0,78.73,expires_worthless,10000860,2.45,sell,0.0029,29.39,0.0,27.39,expires_worthless
2017-04-27,2017-05-24,2.344,0.0715,0.0193,46.87,2.3935,True,True,2+3,,1,66.89,62.89,10000872,2.4,sell,0.0051,51.25,0.0,49.25,expires_worthless,10000873,2.45,sell,0.0016,15.64,0.0,13.64,expires_worthless
2017-05-25,2017-06-28,2.47,0.0958,0.1432,77.05,2.4319,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2017-06-29,2017-07-26,2.565,0.1368,0.2817,68.56,2.5787,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2017-07-27,2017-08-23,2.677,0.1634,0.3715,64.89,2.751,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2017-08-24,2017-09-27,2.698,0.1169,0.2144,59.6,2.7312,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2017-09-28,2017-10-25,2.715,0.1148,0.2074,47.32,2.7737,True,True,2+3,,1,188.97,164.97,10000995,2.8,sell,0.0127,127.28,-20.0,105.28,assigned  ETF=2.8020 K=2.8000,10001001,2.85,sell,0.0062,61.69,0.0,59.69,expires_worthless
2017-10-26,2017-11-22,2.827,0.1172,0.2155,71.26,2.836,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2017-11-23,2017-12-27,2.991,0.135,0.2757,64.85,3.0527,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2017-12-28,2018-01-24,2.855,0.1806,0.4297,47.22,2.9127,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-01-25,2018-02-28,3.15,0.1872,0.4521,75.44,3.2221,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-03-01,2018-03-28,2.884,0.2289,0.5928,41.21,3.2485,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-03-29,2018-04-25,2.734,0.2308,0.5992,34.98,2.978,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-04-26,2018-05-23,2.655,0.2366,0.6189,40.57,2.7798,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-05-24,2018-06-27,2.655,0.186,0.4962,41.55,2.7649,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-06-28,2018-07-25,2.441,0.2384,0.6446,22.83,2.776,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-07-26,2018-08-22,2.575,0.2177,0.5552,55.47,2.6232,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-08-23,2018-09-26,2.509,0.2069,0.5089,50.37,2.6062,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-09-27,2018-10-24,2.628,0.2186,0.5591,62.69,2.6465,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-10-25,2018-11-28,2.531,0.2986,0.8756,51.22,2.6765,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-11-29,2018-12-26,2.453,0.265,0.634,44.41,2.5827,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2018-12-27,2019-01-23,2.275,0.2538,0.5551,26.02,2.5373,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2019-01-24,2019-02-27,2.403,0.146,0.0323,57.04,2.4421,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2019-02-28,2019-03-27,2.736,0.3077,0.6941,70.09,2.7895,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2019-03-28,2019-04-24,2.718,0.2441,0.4336,52.29,2.8526,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2019-04-25,2019-05-22,2.913,0.2788,0.5756,53.41,3.0655,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2019-05-23,2019-06-26,2.677,0.2151,0.3144,38.09,2.9866,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2019-06-27,2019-07-24,2.955,0.2639,0.5145,67.66,3.0027,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2019-07-25,2019-08-28,2.977,0.1764,0.1561,61.32,3.0174,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2019-08-29,2019-09-25,2.901,0.17,0.1298,49.74,2.9755,True,True,2+3,,1,343.32,339.32,10001746,3.0,sell,0.0255,255.16,0.0,253.16,expires_worthless,10001801,3.1,sell,0.0088,88.16,0.0,86.16,expires_worthless
2019-09-26,2019-10-23,2.978,0.1622,0.0979,51.06,3.0697,True,True,2+3,,1,212.21,208.21,10001946,3.1,sell,0.016,159.72,0.0,157.72,expires_worthless,10001947,3.2,sell,0.0052,52.49,0.0,50.49,expires_worthless
2019-10-24,2019-11-27,3.008,0.1289,0.0547,51.49,3.0738,True,True,2+3,,1,79.11,75.11,10001967,3.2,sell,0.0056,56.33,0.0,54.33,expires_worthless,10001968,3.3,sell,0.0023,22.78,0.0,20.78,expires_worthless
2019-11-28,2019-12-25,2.978,0.1222,0.0299,42.03,3.0966,True,True,2+3,,1,103.39,99.39,10001833,3.1,sell,0.008,79.88,0.0,77.88,expires_worthless,10001834,3.2,sell,0.0024,23.51,0.0,21.51,expires_worthless
2019-12-26,2020-01-22,3.002,0.142,0.1035,54.42,3.0458,True,True,2+3,,1,211.45,207.45,10002054,3.1,sell,0.0137,137.02,0.0,135.02,expires_worthless,10002017,3.149,sell,0.0073,74.43,0.0,72.43,expires_worthless
2020-01-23,2020-02-26,2.925,0.1684,0.2023,32.87,3.1136,True,True,2+3,,1,676.93,672.93,10002193,3.0,sell,0.0485,484.61,0.0,482.61,expires_worthless,10002194,3.1,sell,0.0192,192.32,0.0,190.32,expires_worthless
2020-02-27,2020-03-25,2.898,0.1928,0.293,46.05,3.0025,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2020-03-26,2020-04-22,2.677,0.2956,0.6206,42.2,3.0591,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
