entry_date,expiry_date,etf_entry,iv,ivr,rsi,bbu,filter_passed,filter_would_pass,call_offsets,put_offsets,num_contracts,total_premium,total_net_rmb,Call_Leg_A_(OTM2)_contract,Call_Leg_A_(OTM2)_K,Call_Leg_A_(OTM2)_side,Call_Leg_A_(OTM2)_exec_px,Call_Leg_A_(OTM2)_premium,Call_Leg_A_(OTM2)_exercise,Call_Leg_A_(OTM2)_net,Call_Leg_A_(OTM2)_note,Call_Leg_B_(OTM3)_contract,Call_Leg_B_(OTM3)_K,Call_Leg_B_(OTM3)_side,Call_Leg_B_(OTM3)_exec_px,Call_Leg_B_(OTM3)_premium,Call_Leg_B_(OTM3)_exercise,Call_Leg_B_(OTM3)_net,Call_Leg_B_(OTM3)_note
2019-12-23,2020-01-22,3.964,0.1454,0.0,49.72,4.046,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2020-01-23,2020-02-26,3.996,0.1725,0.3812,39.44,4.2353,True,True,2+3,,1,718.34,714.34,10002140,4.1,sell,0.0464,463.54,0.0,461.54,expires_worthless,10002141,4.2,sell,0.0255,254.8,0.0,252.8,expires_worthless
2020-02-27,2020-03-25,4.071,0.2019,0.6625,53.46,4.234,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2020-03-26,2020-04-22,3.683,0.2957,0.5837,40.69,4.2919,True,True,2+3,,1,1168.16,874.16,10002352,3.8,sell,0.0716,716.38,-290.0,424.38,assigned  ETF=3.8290 K=3.8000,10002353,3.9,sell,0.0452,451.78,0.0,449.78,expires_worthless
2020-04-23,2020-05-27,3.822,0.133,0.002,52.99,3.8701,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2020-05-28,2020-06-24,3.85,0.1476,0.054,47.63,3.9891,True,True,2+3,,1,226.38,-2057.62,10002175,4.0,sell,0.0168,167.58,-1640.0,-1474.42,assigned  ETF=4.1640 K=4.0000,10002176,4.1,sell,0.0059,58.8,-640.0,-583.2,assigned  ETF=4.1640 K=4.1000
2020-06-29,2020-07-22,4.128,0.1473,0.136,66.01,4.1714,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2020-07-23,2020-08-26,4.766,0.2441,0.4518,63.85,5.1238,True,True,2+3,,1,1563.1,1559.1,10002663,4.9,sell,0.0913,913.36,0.0,911.36,expires_worthless,10002699,5.0,sell,0.065,649.74,0.0,647.74,expires_worthless
2020-08-27,2020-09-23,4.799,0.2203,0.3741,54.92,4.8879,True,True,2+3,,1,1317.12,1313.12,10002665,4.9,sell,0.0784,784.0,0.0,782.0,expires_worthless,10002705,5.0,sell,0.0533,533.12,0.0,531.12,expires_worthless
2020-09-24,2020-10-28,4.636,0.2009,0.3108,42.05,4.9498,True,True,2+3,,1,985.88,941.88,10002793,4.8,sell,0.0589,588.98,-40.0,546.98,assigned  ETF=4.8040 K=4.8000,10002794,4.9,sell,0.0397,396.9,0.0,394.9,expires_worthless
2020-10-29,2020-11-25,4.848,0.1848,0.2584,56.24,4.97,True,True,2+3,,1,621.32,617.32,10002840,5.0,sell,0.0486,486.08,0.0,484.08,expires_worthless,10002841,5.25,sell,0.0135,135.24,0.0,133.24,expires_worthless
2020-11-26,2020-12-23,4.985,0.1694,0.208,55.52,5.1201,True,True,2+3,,1,331.24,327.24,10002712,5.25,sell,0.025,249.9,0.0,247.9,expires_worthless,10002713,5.5,sell,0.0081,81.34,0.0,79.34,expires_worthless
2020-12-24,2021-01-27,5.074,0.1564,0.1658,54.51,5.1691,True,True,2+3,,1,159.74,-54.26,10002937,5.5,sell,0.0115,114.66,-210.0,-97.34,assigned  ETF=5.5210 K=5.5000,10002938,5.75,sell,0.0045,45.08,0.0,43.08,expires_worthless
2021-01-28,2021-02-24,5.385,0.2156,0.3588,48.3,5.7079,True,True,2+3,,1,1197.82,1193.82,10003147,5.5,sell,0.0802,801.64,0.0,799.64,expires_worthless,10003070,5.675,sell,0.0391,396.18,0.0,394.18,expires_worthless
2021-02-25,2021-03-24,5.478,0.2058,0.3268,47.75,5.8126,True,True,2+3,,1,948.04,944.04,10002769,5.675,sell,0.0549,556.04,0.0,554.04,expires_worthless,10003166,5.75,sell,0.0392,392.0,0.0,390.0,expires_worthless
2021-03-25,2021-04-28,4.929,0.1872,0.2663,35.85,5.4563,True,True,2+3,,1,338.1,334.1,10003284,5.25,sell,0.0254,253.82,0.0,251.82,expires_worthless,10003285,5.5,sell,0.0084,84.28,0.0,82.28,expires_worthless
2021-04-29,2021-05-26,5.173,0.171,0.2624,56.92,5.2163,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2021-05-27,2021-06-23,5.347,0.2203,0.4599,66.61,5.3526,False,False,,,1,0.0,0.0,,,,,,,,,,,,,,,,
2021-06-24,2021-07-28,5.189,0.1664,0.2165,49.69,5.4014,True,True,2+3,,1,281.26,277.26,10003438,5.5,sell,0.0214,213.64,0.0,211.64,expires_worthless,10003439,5.75,sell,0.0068,67.62,0.0,65.62,expires_worthless
2021-07-29,2021-08-25,4.906,0.1562,0.1784,36.16,5.3526,True,True,2+3,,1,144.06,140.06,10003483,5.25,sell,0.0101,100.94,0.0,98.94,expires_worthless,10003484,5.5,sell,0.0043,43.12,0.0,41.12,expires_worthless
2021-08-26,2021-09-22,4.886,0.1393,0.2218,41.9,5.1223,True,True,2+3,,1,437.08,433.08,10003225,5.0,sell,0.0367,366.52,0.0,364.52,expires_worthless,10003226,5.25,sell,0.0071,70.56,0.0,68.56,expires_worthless
2021-09-23,2021-10-27,4.924,0.1751,0.4424,45.58,5.0999,True,True,2+3,,1,224.42,220.42,10003604,5.25,sell,0.0185,185.22,0.0,183.22,expires_worthless,10003605,5.5,sell,0.0039,39.2,0.0,37.2,expires_worthless
2021-10-28,2021-11-24,4.949,0.1706,0.4161,45.94,5.0569,True,True,2+3,,1,147.98,143.98,10003647,5.25,sell,0.0123,123.48,0.0,121.48,expires_worthless,10003648,5.5,sell,0.0024,24.5,0.0,22.5,expires_worthless
